76,66,98,17,35,15,51,86,59,73,94,57,85,59,81,3,81,86,65,30,48,7,87,75,27,15,40,83,41,28,53,28,77,64,1,85,38,94,57,75,36,81,98,100,77,26,53,74,56,66,79,53,53,59,99,16,36,87,63,16,1,79,67,16,69,20,60,46,1,79,62,95,11,94,25,87,22,63,83,99,73,6,57,81,67,70,46,90,79,45,70,80,96,88,59,36,19,52,35,5
99,7,23,43,4,73,44,47,72,37,28,14,38,74,75,1,48,78,69,7,95,94,31,34,98,47,77,96,37,18,72,1,45,53,67,92,29,94,58,6,24,3,44,53,98,63,65,65,38,82,63,61,38,74,41,53,77,14,45,63,50,82,12,22,37,66,79,18,24,67,24,27,81,20,87,50,13,47,91,60,82,30,39,78,60,27,45,37,97,32,28,67,91,33,98,6,57,12,42,55
52,1,2,20,39,54,55,70,47,36,54,11,2,31,22,76,100,10,59,38,92,11,85,34,13,5,32,63,12,95,13,54,95,8,67,34,1,84,25,13,35,97,34,58,71,97,20,4,53,21,66,22,83,21,74,21,62,6,20,26,81,24,5,18,74,72,63,22,59,53,92,94,22,24,90,54,50,37,15,56,65,86,29,42,57,37,95,53,85,73,83,21,31,92,87,39,93,28,9,9
9,37,1,71,96,52,24,85,30,12,16,3,14,47,6,59,52,66,72,10,71,80,21,84,32,82,27,22,44,30,28,60,37,7,41,19,18,20,46,37,26,73,29,32,94,30,1,99,49,92,86,46,5,68,50,59,58,61,99,91,52,77,49,4,22,66,33,9,80,38,16,24,8,75,68,48,55,1,45,82,11,23,69,34,68,88,71,2,11,19,32,98,73,48,12,81,56,93,13,83
83,64,43,67,83,99,93,29,6,94,21,99,40,41,89,17,98,58,86,52,51,60,76,75,42,59,2,77,6,59,69,48,72,58,92,65,12,69,64,35,94,63,37,24,5,63,65,90,62,88,85,6,91,59,29,85,87,1,80,69,64,20,41,46,28,44,21,52,90,20,65,93,46,77,50,26,25,90,47,46,6,70,63,90,24,99,36,5,21,67,45,83,41,28,62,57,13,11,75,85
21,25,22,93,27,61,94,3,1,3,85,57,45,25,10,98,52,64,75,71,42,94,83,30,36,66,8,79,90,97,67,1,23,38,3,2,26,25,65,76,9,11,74,19,39,40,2,25,41,36,99,51,47,19,69,92,17,41,49,16,63,92,80,58,86,89,62,90,15,1,36,1,63,58,97,48,30,32,51,72,17,22,38,28,86,33,92,25,26,77,50,90,67,76,47,86,13,83,56,20
62,41,94,23,34,5,11,69,3,13,74,43,94,63,86,61,90,22,27,2,100,72,92,78,47,37,88,86,60,55,71,56,81,20,35,95,77,29,70,99,41,21,17,47,78,45,73,67,2,44,94,94,61,48,29,12,88,73,27,73,64,32,49,45,7,62,9,39,65,27,82,13,58,47,49,52,49,1,34,73,53,85,98,96,75,42,49,99,71,22,79,15,75,29,6,18,8,51,60,43
79,28,98,12,66,40,69,62,44,9,76,25,56,36,95,36,78,1,20,94,78,45,94,87,4,58,27,37,61,46,65,72,51,99,17,35,95,26,38,98,41,79,48,70,92,17,30,13,9,71,60,70,73,34,7,48,25,95,14,79,97,79,14,33,47,11,78,49,95,58,95,39,86,94,76,31,79,35,51,84,43,48,97,87,34,96,17,19,33,54,67,55,55,38,7,28,45,49,37,4
81,40,42,21,91,82,73,14,71,97,97,26,47,57,57,88,61,24,28,88,30,63,8,49,51,100,50,34,23,33,7,6,76,65,15,8,12,80,86,9,87,85,12,55,66,29,51,99,35,66,59,64,60,73,53,37,97,7,39,38,88,9,27,32,72,78,36,61,64,10,40,6,42,15,71,1,16,16,33,98,99,12,5,26,89,9,7,4,99,86,70,26,56,61,9,34,56,36,68,90
85,49,92,42,29,25,97,3,65,90,90,28,94,77,81,43,100,97,94,85,7,69,46,3,97,20,65,3,97,65,73,43,81,93,64,69,63,40,94,6,9,87,45,15,35,96,47,77,78,62,10,96,59,24,82,92,3,32,37,57,63,30,43,78,15,88,73,39,6,49,88,77,71,42,79,95,84,89,60,8,16,91,90,2,6,51,73,26,81,87,5,28,43,86,77,75,12,79,78,64
